Плагиат;Длина документа;Цитируемость;Документ
0;34000;867; Байденко В. Компетенции в профессиональном образовании (К освоению компетентностного подхода). Высшее образование в России.  2004. № 11.  С. 3-13
0;22826;795; Пригожин И. Философия нестабильности. Вопросы философии.  1991. № 6.  С. 46-52
0;22728;779; Зеер Э., Сыманюк Э. Компетентностный подход к модернизации профессионального образования. Высшее образование в России.  2005. № 4.  С. 23-30
4439;54082;757; Баевский Р.М., Иванов Г.Г., Гаврилушкин А.П., Довгалевский П.Я., Кукушкин Ю.А., Миронова Т.Ф., Прилуцкий Д.А., Семенов А.В., Федоров В.Ф., Флейшман А.Н., Медведев М.М., Чирейкин Л.В. АНАЛИЗ ВАРИАБЕЛЬНОСТИ СЕРДЕЧНОГО РИТМА ПРИ ИСПОЛЬЗОВАНИИ РАЗЛИЧНЫХ ЭЛЕКТРОКАРДИОГРАФИЧЕСКИХ СИСТЕМ (часть 1). Вестник аритмологии.  2002. № 24.  С. 65-86
0;66695;715; Хантингтон С. СТОЛКНОВЕНИЕ ЦИВИЛИЗАЦИЙ?. Полис. Политические исследования.  1994. № 1.  С. 33-48
0;29160;501; Андреев А.Л. Компетентностная парадигма в образовании: опыт философско-методологического анализа. Педагогика.  2005. № 4.  С. 19-27
0;32359;482; Симбирцев А.С. Цитокины - новая система регуляции защитных реакций организма. Цитокины и воспаление.  2002. Т. 1. № 1.  С. 9-16
0;23893;481; Шальнова С.А., Баланова Ю.А., Константинов В.В., Тимофеева Т.Н., Иванов В.М., Капустина А.В., Деев А.Д. Артериальная гипертония: распространенность, осведомленность, прием антигипертензивных препаратов и эффективность лечения среди населения Российской Федерации. Российский кардиологический журнал.  2006. № 4 (60).  С. 45-50
0;53194;471; Алмонд Г.А., Верба С. ГРАЖДАНСКАЯ КУЛЬТУРА И СТАБИЛЬНОСТЬ ДЕМОКРАТИИ. Полис. Политические исследования.  1992. № 4.  С. 122-134
0;58370;463; Карпов А.В. Рефлексивность как психическое свойство и методика ее диагностики. Психологический журнал.  2003. Т. 24. № 5.  С. 45-57
13666;83396;432; Болдырев. Н.Н. Концептуальное пространство когнитивной лингвистики. Вопросы когнитивной лингвистики.  2004. № 1.  С. 18-36
0;102520;413; Инглхарт Р. ПОСТМОДЕРН: МЕНЯЮЩИЕСЯ ЦЕННОСТИ И ИЗМЕНЯЮЩИЕСЯ ОБЩЕСТВА. Полис. Политические исследования.  1997. № 4.  С. 6-32
0;270163;397; Губин С.П., Кокшаров Ю.А., Хомутов Г.Б., Юрков Г.Ю. Магнитные наночастицы: методы получения, строение и свойства. Успехи химии.  2005. Т. 74. № 6.  С. 539-574
0;21636;383; Симбирцев А.С. Цитокины: классификация и биологические функции. Цитокины и воспаление.  2004. Т. 3. № 2.  С. 16-22
0;77218;381; Полтерович В.М. Трансплантация экономических институтов. Экономическая наука современной России.  2001. № 3.  С. 24-50
6846;50129;360; Дерябина М. Государственно-частное партнерство: теория и практика. Вопросы экономики.  2008. № 8.  С. 61-77
0;47436;356; Матузов Н.И., Малько А.В. Правовые режимы: Вопросы теории и практики. Известия высших учебных заведений. Правоведение.  1996. № 1.  С. 16-29
0;49170;344; Степин В.С. Саморазвивающиеся системы и постнеклассическая рациональность. Вопросы философии.  2003. № 8.  С. 5-17
